name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
ANNI DESIGNER Women's Cotton Blend Printed Straight Kurta with Pant (Pustak Blue),women's clothing,Ethnic Wear,https://m.media-amazon.com/images/I/61q-JREtrAL._AC_UL320_.jpg,https://www.amazon.in/ANNI-DESIGNER-Straight-Pustak-Blue_M_Blue_Medium/dp/B0BV6WSF33/ref=sr_1_5?qid=1679154137&s=apparel&sr=1-5,4.0,37,₹435,"₹2,599"
Vaamsi Women's Cotton Blend Printed Kurta Set with Dupatta (VKSKD1238_Blue),women's clothing,Ethnic Wear,https://m.media-amazon.com/images/I/81rTa+xpERL._AC_UL320_.jpg,https://www.amazon.in/Vaamsi-Womens-Printed-Dupatta-VKSKD1238_XL_Blue/dp/B09G723WX8/ref=sr_1_6?qid=1679154137&s=apparel&sr=1-6,3.7,501,₹679,"₹4,247"
SIRIL Women's Printed Poly Silk Saree with Blouse,women's clothing,Ethnic Wear,https://m.media-amazon.com/images/I/71AYPbuBrhL._AC_UL320_.jpg,https://www.amazon.in/SIRIL-Womens-Printed-Blouse-2331S805_Mustrad/dp/B09SZHVDBW/ref=sr_1_7?qid=1679154137&s=apparel&sr=1-7,3.4,"2,150",₹269,"₹1,381"
FIORRA Women's Maroon Poly Crepe A-line Kurta with Pant and Dupatta,women's clothing,Ethnic Wear,https://m.media-amazon.com/images/I/81271aov+AL._AC_UL320_.jpg,https://www.amazon.in/FIORRA-Womens-Straight-Dupatta-SET0058-S/dp/B0B7SD78YS/ref=sr_1_8?qid=1679154137&s=apparel&sr=1-8,4.1,"2,139",₹810,"₹2,599"
GoSriKi Women's Cotton Blend Embroidered Straight Kurta with Pant & Dupatta (MYSURU-GS),women's clothing,Ethnic Wear,https://m.media-amazon.com/images/I/61CSwtvIKsL._AC_UL320_.jpg,https://www.amazon.in/GoSriKi-Embroidered-Straight-Dupatta-MYSURU-Cream_L-GS_Cream_Large/dp/B0BFB9YRT3/ref=sr_1_9?qid=1679154137&s=apparel&sr=1-9,3.8,333,₹732,"₹2,599"
GoSriKi Women Saree,women's clothing,Ethnic Wear,https://m.media-amazon.com/images/I/61Ndm5mnP4L._AC_UL320_.jpg,https://www.amazon.in/GoSriKi-Womens-Woven-Georgette-Apne-Green-GO/dp/B0B1F2WVW2/ref=sr_1_10?qid=1679154137&s=apparel&sr=1-10,3.6,"1,054",₹289,"₹2,599"
ANNI DESIGNER Women's Cotton Blend Printed Straight Kurta with Pant (KIDYA),women's clothing,Ethnic Wear,https://m.media-amazon.com/images/I/617RNsoETPL._AC_UL320_.jpg,https://www.amazon.in/ANNI-DESIGNER-Straight-KIDYA-Blue_S_Blue_Small/dp/B0BSS94MR4/ref=sr_1_11?qid=1679154137&s=apparel&sr=1-11,4.2,107,₹499,"₹2,599"
Vaamsi Women's Cotton Blend Printed Kurta Pant Dupatta Set (VKSKD1171_Green),women's clothing,Ethnic Wear,https://m.media-amazon.com/images/I/71ntNcW3OhL._AC_UL320_.jpg,https://www.amazon.in/Vaamsi-Womens-Printed-Dupatta-VKSKD1171_L_Green/dp/B09BFFMXDN/ref=sr_1_12?qid=1679154137&s=apparel&sr=1-12,3.9,786,₹679,"₹3,497"
Rangnavi Women Rayon Anarkali Embroidered Printed Kurta Pant and Dupatta Set,women's clothing,Ethnic Wear,https://m.media-amazon.com/images/I/41HnNEzSeCL._AC_UL320_.jpg,https://www.amazon.in/Rangnavi-Anarkali-Embroidered-Printed-Dupatta/dp/B0BPY6JKN7/ref=sr_1_13?qid=1679154137&s=apparel&sr=1-13,3.9,159,₹845,"₹2,499"
ANNI DESIGNER Women's Cotton Blend Printed Straight Kurta with Palazzo (Pimpli),women's clothing,Ethnic Wear,https://m.media-amazon.com/images/I/71AQkGYCpdL._AC_UL320_.jpg,https://www.amazon.in/ANNI-DESIGNER-Straight-Pimpli-Pink_M_Pink_Medium/dp/B0B515MKPQ/ref=sr_1_14?qid=1679154137&s=apparel&sr=1-14,3.7,"1,844",₹479,"₹2,599"
