name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
"Nutraj 100% Natural Dried Premium California Walnut Kernels, 500g (2 X 250g) | Pure Without Shell Walnut Kernels | Akhrot ...",grocery & gourmet foods,All Grocery & Gourmet Foods,https://m.media-amazon.com/images/I/71f5UPOWDqL._AC_UL320_.jpg,https://www.amazon.in/Nutraj-California-Walnut-Kernels-500g/dp/B07P56M78L/ref=sr_1_697?qid=1679216185&s=grocery&sr=1-697,3.9,"6,081",₹686,₹998
"Cadbury Bournvita 5 Star Magic Health Drink, 750g Pouch",grocery & gourmet foods,All Grocery & Gourmet Foods,https://m.media-amazon.com/images/I/614FIW5c6HL._AC_UL320_.jpg,https://www.amazon.in/Bournvita-Magic-Chocolate-Health-Refill/dp/B07BFQHW2Z/ref=sr_1_698?qid=1679216185&s=grocery&sr=1-698,4.3,"8,481",,₹353
Sugar Free Green Natural Stevia Jar(200 g),grocery & gourmet foods,All Grocery & Gourmet Foods,https://m.media-amazon.com/images/I/61rBhkTJ6EL._AC_UL320_.jpg,https://www.amazon.in/Sugarfree-Green-100-Natural-Stevia/dp/B082TC6KL9/ref=sr_1_699?qid=1679216185&s=grocery&sr=1-699,4.3,"1,585",₹162,₹170
"Daawat Pulav, Long Grains, Fluffy Basmati for finest Pulav, 1 Kg",grocery & gourmet foods,All Grocery & Gourmet Foods,https://m.media-amazon.com/images/I/71UO6eXC1QL._AC_UL320_.jpg,https://www.amazon.in/Daawat-Pulav-Basmati-Rice-1kg/dp/B00N2WK7QU/ref=sr_1_700?qid=1679216185&s=grocery&sr=1-700,4.3,"3,907",₹138,₹139
Tata Tea Gold | Assam teas with Gently Rolled Aromatic Long Leaves | Rich & Aromatic Chai | Black Tea | 500g,grocery & gourmet foods,All Grocery & Gourmet Foods,https://m.media-amazon.com/images/I/51kEujuYlpL._AC_UL320_.jpg,https://www.amazon.in/Tata-Tea-Gold-500g/dp/B00GLDPBJK/ref=sr_1_701?qid=1679216185&s=grocery&sr=1-701,4.4,"15,528",₹283,₹295
"Wagh Bakri Premium Leaf Tea, Poly Pack, 500g",grocery & gourmet foods,All Grocery & Gourmet Foods,https://m.media-amazon.com/images/I/61kTHO+UX9L._AC_UL320_.jpg,https://www.amazon.in/Wagh-Bakri-Leaf-Poly-Pack/dp/B00N8J3V9M/ref=sr_1_702?qid=1679216185&s=grocery&sr=1-702,4.4,"4,463",₹281,₹290
"Dabur Vedic Tea - 500gm | Handpicked from Assam, Nilgiri & Darjeeling | Soulful Aroma & Rich Taste | 30+ Ayurvedic Herbs |...",grocery & gourmet foods,All Grocery & Gourmet Foods,https://m.media-amazon.com/images/I/61DMPchFPLL._AC_UL320_.jpg,https://www.amazon.in/Dabur-Vedic-Premium-Ayurvedic-Herbs/dp/B0B5F675W5/ref=sr_1_703?qid=1679216185&s=grocery&sr=1-703,4.0,517,₹205,₹295
"Nescafe Classic Coffee Jar, 200 g with Free Red Mug and Scoop Spoon",grocery & gourmet foods,All Grocery & Gourmet Foods,https://m.media-amazon.com/images/I/71ehfHfPCzL._AC_UL320_.jpg,https://www.amazon.in/NESCAFE-Classic-Instant-Coffee-Special/dp/B082DMBGZZ/ref=sr_1_704?qid=1679216185&s=grocery&sr=1-704,4.5,"2,539",₹626,₹640
BLUE TEA - Chamomile Flower Tea | Pure Whole Flower Buds of Chamomile || SLEEP TEA & STRESS RELIEF || Herbal Tea - Caffein...,grocery & gourmet foods,All Grocery & Gourmet Foods,https://m.media-amazon.com/images/I/71qVgLGta9L._AC_UL320_.jpg,https://www.amazon.in/BLUE-TEA-Chamomile-Flower-Petals/dp/B082418FHJ/ref=sr_1_705?qid=1679216185&s=grocery&sr=1-705,4.1,"10,450",₹189,₹399
"Organic Tattva, Organic Wheat Dalia / Daliya, 500g",grocery & gourmet foods,All Grocery & Gourmet Foods,https://m.media-amazon.com/images/I/71a5llM7MBL._AC_UL320_.jpg,https://www.amazon.in/Organic-Tattva-Wheat-Dalia-500g/dp/B00M57TS1S/ref=sr_1_706?qid=1679216185&s=grocery&sr=1-706,4.3,"1,513",,₹55
"Mccain Chilli Garlic Potato Bites, 420 g Regular Pack",grocery & gourmet foods,All Grocery & Gourmet Foods,https://m.media-amazon.com/images/I/816voyD8jiL._AC_UL320_.jpg,https://www.amazon.in/Mccain-Chilli-Garlic-Potato-Regular/dp/B01DYAN5JU/ref=sr_1_707_f3_0g_fs?qid=1679216185&s=grocery&sr=1-707,4.4,"3,256",₹128,₹140
"Saffola Honey Gold, 100% Pure NMR Tested Honey, Made with Kashmir Honey, 1Kg",grocery & gourmet foods,All Grocery & Gourmet Foods,https://m.media-amazon.com/images/I/61pVnleyBgL._AC_UL320_.jpg,https://www.amazon.in/Saffola-Honey-Gold-Tested-Kashmir/dp/B0B9ZQHGBT/ref=sr_1_708?qid=1679216185&s=grocery&sr=1-708,4.4,226,₹352,₹570
